,licensed_certified,facid,fac_status_type_code,facname,fac_type_code,fac_fdr,ltc,capacity,address,city,zip,county_code,county_name,district_number,district_name,isfacmain,fac_fac_relationship_type_code,cclho_code,cclho_name,fips_county_code,data_date
1995,LICENSED ONLY,90000259,OPEN,PLANNED PARENTHOOD - FRANCES TORBERT CENTER,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,220 EUCLID AVE,SAN DIEGO,92114,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
1996,LICENSED AND CERTIFIED,90000264,OPEN,SAN YSIDRO HEALTH SAN YSIDRO HEALTH CENTER,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,4004 BEYER BLVD,SAN YSIDRO,92173,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
1997,LICENSED AND CERTIFIED,90000277,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - ASH,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
1998,LICENSED AND CERTIFIED,90000278,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - BIRCH,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
1999,LICENSED AND CERTIFIED,90000279,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - CEDAR,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2000,LICENSED AND CERTIFIED,90000280,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES- CREPE MYRTLE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2001,LICENSED AND CERTIFIED,90000281,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - JACARANDA,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2002,LICENSED AND CERTIFIED,90000282,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - PALM,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2003,LICENSED AND CERTIFIED,90000310,OPEN,WINDMILL VIEW,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2349 WINDMILL VIEW RD,EL CAJON,92020,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2004,LICENSED AND CERTIFIED,90000311,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - SPRUCE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2005,LICENSED AND CERTIFIED,90000312,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - LEMON,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2006,LICENSED AND CERTIFIED,90000313,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - PLUM,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2007,LICENSED AND CERTIFIED,90000314,OPEN,MOUNTAIN SHADOWS COMMUNITY  HOMES - WILLOW,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2008,LICENSED AND CERTIFIED,90000315,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - TANGELO,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2009,LICENSED AND CERTIFIED,90000316,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - APPLE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2010,LICENSED AND CERTIFIED,90000317,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - MAPLE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2011,LICENSED AND CERTIFIED,90000318,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - ORANGE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2067 W EL NORTE PKWY,ESCONDIDO,92026,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2012,LICENSED AND CERTIFIED,90000324,OPEN,VILLA CORONADO D/P SNF,SNF,SKILLED NURSING FACILITY,LTC,122,233 PROSPECT PL,CORONADO,92118,470,SAN DIEGO,10,SAN DIEGO,N,DISTINCT PART,37,SAN DIEGO,6073,2024-03-15 00:00:00
2013,LICENSED AND CERTIFIED,90000338,OPEN,PARADISE VALLEY HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,39,2400 E 4TH ST,NATIONAL CITY,91950,470,SAN DIEGO,10,SAN DIEGO,N,DISTINCT PART,37,SAN DIEGO,6073,2024-03-15 00:00:00
2014,LICENSED AND CERTIFIED,90000347,OPEN,SCRIPPS MERCY HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,36,4077 5TH AVE,SAN DIEGO,92103,470,SAN DIEGO,10,SAN DIEGO,N,DISTINCT PART,37,SAN DIEGO,6073,2024-03-15 00:00:00
2015,LICENSED AND CERTIFIED,90000416,OPEN,SHARP CHULA VISTA MEDICAL CENTER D/P SNF,SNF,SKILLED NURSING FACILITY,LTC,100,751 MEDICAL CENTER CT,CHULA VISTA,91911,470,SAN DIEGO,10,SAN DIEGO,N,DISTINCT PART,37,SAN DIEGO,6073,2024-03-15 00:00:00
2016,LICENSED AND CERTIFIED,90000475,OPEN,CASTLE MANOR NURSING & REHABILITATION CENTER,SNF,SKILLED NURSING FACILITY,LTC,99,541 S V AVE,NATIONAL CITY,91950,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2017,LICENSED AND CERTIFIED,90000485,OPEN,WASHINGTON STREET GROUP HOME,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,1938 WASHINGTON ST,LEMON GROVE,91945,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2018,CERTIFIED ONLY,90000489,CERTIFIED ONLY,SAN DIEGO EYE COR,ASC,SURGICAL CLINIC,NON-LTC,0,3939 3RD AVE,SAN DIEGO,92103,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2019,LICENSED AND CERTIFIED,90000554,OPEN,ST. VINCENT DE PAUL VILLAGE FAMILY HEALTH CENTER,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,1501 IMPERIAL AVE,SAN DIEGO,92101,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2020,CERTIFIED ONLY,90000647,CERTIFIED ONLY,LA MESA SURGICAL CENTER,ASC,SURGICAL CLINIC,NON-LTC,0,8401 GRANT AVE,LA MESA,91941,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2022,LICENSED ONLY,90000687,OPEN,PLANNED PARENTHOOD OF SDRC - SURGICAL SERVICES,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,2017 1ST AVE,SAN DIEGO,92101,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2024,LICENSED AND CERTIFIED,90000702,OPEN,CASTLE MANOR NURSING AND REHABILITATION CENTER,OPT/SP,REHABILITATION CLINIC,NON-LTC,0,541 S V AVE,NATIONAL CITY,91950,470,SAN DIEGO,10,SAN DIEGO,N,OTHER CERTIFIABLE PART,37,SAN DIEGO,6073,2024-03-15 00:00:00
2025,LICENSED AND CERTIFIED,90000707,OPEN,HELMER GROUP HOME,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2244 MEADOW LARK DR,SAN DIEGO,92123,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2026,NOT LICENSED/NOT CERTIFIED,90000716,CERTIFIED ONLY,SYCUAN MEDICAL/DENTAL CENTER,UNLICEN,OTHER,OTHER,0,5442 SYCUAN RD,EL CAJON,92019,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2027,LICENSED AND CERTIFIED,90000727,OPEN,ANJA HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,10045 ANJA PL,LAKESIDE,92040,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2028,LICENSED AND CERTIFIED,90000728,OPEN,BISBY LAKE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,6476 BISBY LAKE AVE,SAN DIEGO,92119,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2029,LICENSED AND CERTIFIED,90000729,OPEN,CORTE MARIA HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,368 CORTE MARIA AVE,CHULA VISTA,91910,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2030,LICENSED AND CERTIFIED,90000745,OPEN,MONTGOMERY HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,1658 MONTGOMERY DR,VISTA,92084,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2032,CERTIFIED ONLY,90000769,CERTIFIED ONLY,ENDOSCOPY CENTER OF CHULA VISTA,ASC,SURGICAL CLINIC,NON-LTC,0,681 3RD AVE,CHULA VISTA,91910,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2033,LICENSED AND CERTIFIED,90000771,OPEN,ORIENTE HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,3081 ORIENTE DR,VISTA,92084,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2034,NOT LICENSED/NOT CERTIFIED,90000781,OPEN,UNIVERSITY COMMUNITY MEDICAL CENTER,PPSPSCH,OTHER,OTHER,0,5550 UNIVERSITY AVE,SAN DIEGO,92105,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2037,LICENSED AND CERTIFIED,90000870,OPEN,LA MAESTRA COMMUNITY HEALTH CENTERS - CITY HEIGHTS,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,4060 FAIRMOUNT AVE,SAN DIEGO,92105,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2038,LICENSED AND CERTIFIED,90000971,OPEN,AQUILLA,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,10200 AQUILLA DR,LAKESIDE,92040,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2039,LICENSED AND CERTIFIED,90000977,OPEN,SELECT SPECIALTY HOSPITAL - SAN DIEGO,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,110,555 WASHINGTON ST,SAN DIEGO,92103,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2040,LICENSED AND CERTIFIED,90000993,OPEN,MARSHALL HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,758 S MELROSE DR,VISTA,92081,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2041,LICENSED AND CERTIFIED,90000996,OPEN,FRIENDSHIP VILLA AMISTAD,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,628 OMEARA ST,SAN DIEGO,92114,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2042,CERTIFIED ONLY,90001014,CERTIFIED ONLY,"SOUTHERN INDIAN HEALTH COUNCIL,INC CAMPO",UNLICEN,OTHER,OTHER,0,36350 CHURCH RD,CAMPO,91906,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2043,LICENSED AND CERTIFIED,90001019,OPEN,CARLO HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,411 CARLO ST,SAN MARCOS,92078,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2044,LICENSED AND CERTIFIED,90001030,OPEN,CASTILLO VERDE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,10835 GREENCASTLE ST,SANTEE,92071,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2045,LICENSED AND CERTIFIED,90001032,OPEN,GREENCASTLE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,10939 GREENCASTLE ST,SANTEE,92071,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2046,CERTIFIED ONLY,90001034,CERTIFIED ONLY,SAN DIEGO ENDOSCOPY CENTER,ASC,SURGICAL CLINIC,NON-LTC,0,4033 3RD AVE,SAN DIEGO,92103,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2047,LICENSED ONLY,90001041,OPEN,PLANNED PARENTHOOD - CHULA VISTA CENTER,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,1295 BROADWAY,CHULA VISTA,91911,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2048,LICENSED ONLY,90001072,OPEN,BEST-START BIRTH CENTER,ABC,ALTERNATIVE BIRTHING CENTER,NON-LTC,0,3630 ENTERPRISE ST.,SAN DIEGO,92110,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2049,LICENSED AND CERTIFIED,90001087,OPEN,INNERCARE - NILAND,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,8027 HIGHWAY 111,NILAND,92257,120,IMPERIAL,10,SAN DIEGO,Y,PARENT,13,IMPERIAL,6025,2024-03-15 00:00:00
2050,LICENSED ONLY,90001116,OPEN,UC SAN DIEGO HEALTH LA JOLLA - JACOBS MEDICAL CENTER & SULPIZIO CARDIOVASCU,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,418,9300 CAMPUS POINT DR,LA JOLLA,92037,470,SAN DIEGO,10,SAN DIEGO,Y,CONSOLIDATED,37,SAN DIEGO,6073,2024-03-15 00:00:00
2051,LICENSED AND CERTIFIED,90001136,OPEN,NORTH PARK FAMILY HEALTH CENTER,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,3544 30TH ST,SAN DIEGO,92104,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2052,LICENSED AND CERTIFIED,90001189,OPEN,INNERCARE - EL CENTRO,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,852 E DANENBERG DR,EL CENTRO,92243,120,IMPERIAL,10,SAN DIEGO,Y,PARENT,13,IMPERIAL,6025,2024-03-15 00:00:00
2053,LICENSED AND CERTIFIED,90001239,OPEN,VIEW POINTE,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2130 E 8TH ST,NATIONAL CITY,91950,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2054,CERTIFIED ONLY,90001243,CERTIFIED ONLY,VALLEY ENDOSCOPY CENTER,ASC,SURGICAL CLINIC,NON-LTC,0,1550 N IMPERIAL AVE,EL CENTRO,92243,120,IMPERIAL,10,SAN DIEGO,Y,PARENT,13,IMPERIAL,6025,2024-03-15 00:00:00
2055,LICENSED AND CERTIFIED,90001249,CERTIFIED ONLY,EL CENTRO REGIONAL MEDICAL CENTER OUTPATIENT CLINIC,RHC/OP,PRIMARY CARE CLINIC,NON-LTC,0,385 W MAIN ST,EL CENTRO,92243,120,IMPERIAL,10,SAN DIEGO,N,OTHER CERTIFIABLE PART,13,IMPERIAL,6025,2024-03-15 00:00:00
2056,LICENSED AND CERTIFIED,90001259,OPEN,"PROMISING FUTURES, INC. - AGAPE",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,5,1350 TETON DR,EL CAJON,92021,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2057,LICENSED AND CERTIFIED,90001261,OPEN,"PROMISING FUTURES, INC. - HILLSIDE",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,5,12960 HA HANA RD,LAKESIDE,92040,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2058,LICENSED AND CERTIFIED,90001270,OPEN,INNERCARE - WINTERHAVEN,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,2133 WINTERHAVEN DR,WINTERHAVEN,92283,120,IMPERIAL,10,SAN DIEGO,Y,PARENT,13,IMPERIAL,6025,2024-03-15 00:00:00
2059,CERTIFIED ONLY,90001305,CERTIFIED ONLY,DE ANZA CLINIC,RHC/MD,PRIMARY CARE CLINIC,NON-LTC,0,1001 BLAIR AVE,CALEXICO,92231,120,IMPERIAL,10,SAN DIEGO,Y,PARENT,13,IMPERIAL,6025,2024-03-15 00:00:00
2060,LICENSED AND CERTIFIED,90001316,OPEN,MILLER HOME,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,10474 STRATHMORE DR,SANTEE,92071,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2061,LICENSED AND CERTIFIED,90001336,OPEN,VIA MINDANAO HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,5124 VIA MINDANAO,OCEANSIDE,92057,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2062,LICENSED AND CERTIFIED,90001338,OPEN,MARBLEHEAD HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,4728 MARBLEHEAD BAY DR,OCEANSIDE,92057,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2063,LICENSED AND CERTIFIED,90001340,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - OAK,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,866 VIKING LN,SAN MARCOS,92069,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2064,LICENSED AND CERTIFIED,90001342,OPEN,MOUNTAIN SHADOWS COMMUNITY HOMES - ELM,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,600 ROSE CT,SAN MARCOS,92069,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2065,LICENSED AND CERTIFIED,90001344,CERTIFIED ONLY,CALEXICO OUTPATIENT CENTER,RHC/OP,PRIMARY CARE CLINIC,NON-LTC,0,495 E BIRCH ST,CALEXICO,92231,120,IMPERIAL,10,SAN DIEGO,N,OTHER CERTIFIABLE PART,13,IMPERIAL,6025,2024-03-15 00:00:00
2066,LICENSED AND CERTIFIED,90001374,OPEN,SHERMAN HEIGHTS FAMILY HEALTH CENTER,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,2391 ISLAND AVE,SAN DIEGO,92102,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2067,LICENSED AND CERTIFIED,90001377,OPEN,WILLOW SPRINGS,ICFDDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,3066 CAMINO ALETA,SAN DIEGO,92154,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2068,NOT LICENSED/NOT CERTIFIED,90001393,OPEN,ASSOCIATED PHYSICAL THERAPY CENTER EXT.,OPT/SP,REHABILITATION CLINIC,NON-LTC,0,3855 AVOCADO BLVD,LA MESA,91941,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2069,LICENSED AND CERTIFIED,90001407,OPEN,"PROMISING FUTURES, INC. - HOLLY OAKS",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,2819 OAK SHADE LN,RAMONA,92065,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2070,LICENSED AND CERTIFIED,90001417,OPEN,GROSSMONT SPRING VALLEY FAMILY HEALTH CENTER,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,8788 JAMACHA RD,SPRING VALLEY,91977,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2071,LICENSED AND CERTIFIED,90001428,OPEN,GERMON HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,10315 EVERELL PL,SANTEE,92071,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2073,CERTIFIED ONLY,90001452,CERTIFIED ONLY,PACIFIC SURGICAL INSTITUTE OF PAIN MANAGEMENT,ASC,SURGICAL CLINIC,NON-LTC,0,3703 CAMINO DEL RIO S,SAN DIEGO,92108,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2074,LICENSED AND CERTIFIED,90001463,OPEN,KIDCARE EXPRESS,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,823 GATEWAY CENTER WAY,SAN DIEGO,92102,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2075,LICENSED AND CERTIFIED,90001469,OPEN,SHASTA HOME,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,10346 CHALLENGE BLVD,LA MESA,91941,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2076,LICENSED AND CERTIFIED,90001471,OPEN,KASEY'S HOME,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,1164 CRYSTAL LN,EL CAJON,92020,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2077,LICENSED AND CERTIFIED,90001483,OPEN,SAN YSIDRO HEALTH EUCLID,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,286 EUCLID AVE,SAN DIEGO,92114,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2078,LICENSED AND CERTIFIED,90001511,OPEN,CHASE AVENUE FAMILY HEALTH CENTER,COMTYC,PRIMARY CARE CLINIC,NON-LTC,0,1111 W CHASE AVE,EL CAJON,92020,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2079,LICENSED AND CERTIFIED,90001512,OPEN,RAY HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,8318 RUMSON DR,SANTEE,92071,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2080,LICENSED AND CERTIFIED,90001556,OPEN,REGINAS COURT,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,10436 REGINAS CT,SANTEE,92071,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
2081,LICENSED AND CERTIFIED,90001561,OPEN,PARADISE VALLEY HOSP D/P APH BAYVIEW BEHAVIORAL HEALTH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,64,330 MOSS ST,CHULA VISTA,91911,470,SAN DIEGO,10,SAN DIEGO,N,DISTINCT PART,37,SAN DIEGO,6073,2024-03-15 00:00:00
2082,LICENSED AND CERTIFIED,90001562,OPEN,HOME OF GUIDING HANDS - BLOOM HOME,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,LTC,6,6215 LAKE SHORE DR,SAN DIEGO,92119,470,SAN DIEGO,10,SAN DIEGO,Y,PARENT,37,SAN DIEGO,6073,2024-03-15 00:00:00
